Z0.8r,Z0.8k,Z0.8y,Z0.8P,Z0.95r,Z0.95k,Z0.95y,Z0.95P,P0.8r,P0.8k,P0.8y,P0.8P,P0.95r,P0.95k,P0.95y,P0.95P
0.033346,1.246,0.47337,1.0725,0.033467,0.83195,0.39158,1.3274,0.033459,1.2442,0.47289,1.072,0.033684,0.83027,0.39118,1.3262
0.033353,1.2459,0.47333,1.0725,0.033478,0.83207,0.3916,1.3271,0.033456,1.2442,0.47289,1.072,0.033675,0.83068,0.39127,1.3259
0.03336,1.2458,0.4733,1.0725,0.033488,0.8322,0.39162,1.3269,0.033454,1.2442,0.47289,1.072,0.033667,0.83108,0.39135,1.3257
0.033367,1.2457,0.47327,1.0724,0.033496,0.83234,0.39164,1.3266,0.033453,1.2443,0.4729,1.072,0.033659,0.83146,0.39142,1.3254
0.033373,1.2456,0.47324,1.0724,0.033504,0.83249,0.39167,1.3264,0.033451,1.2443,0.4729,1.072,0.033651,0.83182,0.39149,1.3252
0.033378,1.2455,0.47321,1.0724,0.033511,0.83264,0.39169,1.3262,0.03345,1.2443,0.4729,1.072,0.033643,0.83216,0.39156,1.3249
0.033383,1.2454,0.47319,1.0723,0.033516,0.8328,0.39172,1.3259,0.033449,1.2443,0.4729,1.072,0.033636,0.83249,0.39162,1.3247
0.033388,1.2453,0.47317,1.0723,0.033521,0.83296,0.39175,1.3257,0.033448,1.2443,0.4729,1.072,0.033629,0.8328,0.39168,1.3245
0.033392,1.2452,0.47314,1.0723,0.033526,0.83313,0.39178,1.3255,0.033447,1.2443,0.4729,1.072,0.033622,0.8331,0.39174,1.3243
0.033396,1.2452,0.47313,1.0723,0.033529,0.83329,0.39181,1.3253,0.033446,1.2444,0.47291,1.072,0.033615,0.83339,0.3918,1.3241
0.0334,1.2451,0.47311,1.0722,0.033532,0.83346,0.39184,1.3251,0.033445,1.2444,0.47291,1.072,0.033609,0.83366,0.39185,1.3239
0.033403,1.2451,0.47309,1.0722,0.033535,0.83363,0.39187,1.3249,0.033445,1.2444,0.47291,1.072,0.033603,0.83391,0.3919,1.3238
0.033406,1.245,0.47308,1.0722,0.033537,0.83379,0.3919,1.3247,0.033444,1.2444,0.47291,1.072,0.033598,0.83416,0.39195,1.3236
0.033409,1.245,0.47307,1.0722,0.033538,0.83396,0.39193,1.3246,0.033444,1.2444,0.47291,1.072,0.033592,0.83439,0.39199,1.3235
0.033412,1.2449,0.47305,1.0722,0.033539,0.83413,0.39196,1.3244,0.033444,1.2444,0.47291,1.072,0.033587,0.83461,0.39204,1.3233
0.033414,1.2449,0.47304,1.0721,0.03354,0.83429,0.39199,1.3242,0.033443,1.2444,0.47291,1.072,0.033582,0.83482,0.39208,1.3232
0.033416,1.2448,0.47303,1.0721,0.033541,0.83445,0.39202,1.3241,0.033443,1.2444,0.47291,1.072,0.033577,0.83502,0.39212,1.323
0.033418,1.2448,0.47302,1.0721,0.033541,0.83461,0.39205,1.3239,0.033443,1.2444,0.47291,1.072,0.033573,0.83521,0.39215,1.3229
0.03342,1.2448,0.47301,1.0721,0.033541,0.83476,0.39208,1.3238,0.033443,1.2444,0.47291,1.072,0.033569,0.83539,0.39219,1.3228
0.033422,1.2448,0.47301,1.0721,0.033541,0.83491,0.39211,1.3236,0.033443,1.2444,0.47291,1.072,0.033565,0.83556,0.39222,1.3227
0.033424,1.2447,0.473,1.0721,0.03354,0.83506,0.39213,1.3235,0.033442,1.2444,0.47291,1.072,0.033561,0.83573,0.39225,1.3226
0.033425,1.2447,0.47299,1.0721,0.03354,0.8352,0.39216,1.3233,0.033442,1.2444,0.47291,1.072,0.033557,0.83588,0.39228,1.3225
0.033426,1.2447,0.47298,1.0721,0.033539,0.83534,0.39219,1.3232,0.033442,1.2444,0.47291,1.072,0.033553,0.83603,0.39231,1.3224
0.033428,1.2447,0.47298,1.0721,0.033538,0.83548,0.39221,1.3231,0.033442,1.2444,0.47291,1.072,0.03355,0.83617,0.39234,1.3223
0.033429,1.2446,0.47297,1.0721,0.033537,0.83561,0.39224,1.323,0.033442,1.2444,0.47291,1.072,0.033547,0.83631,0.39237,1.3222
0.03343,1.2446,0.47297,1.0721,0.033536,0.83574,0.39226,1.3229,0.033442,1.2444,0.47291,1.072,0.033544,0.83643,0.39239,1.3221
0.033431,1.2446,0.47296,1.0721,0.033535,0.83587,0.39229,1.3228,0.033442,1.2444,0.47291,1.072,0.033541,0.83655,0.39241,1.3221
0.033432,1.2446,0.47296,1.072,0.033534,0.83599,0.39231,1.3227,0.033442,1.2444,0.47291,1.072,0.033538,0.83667,0.39244,1.322
0.033432,1.2446,0.47296,1.072,0.033533,0.83611,0.39233,1.3226,0.033442,1.2444,0.47291,1.072,0.033536,0.83678,0.39246,1.3219
0.033433,1.2446,0.47295,1.072,0.033532,0.83622,0.39235,1.3225,0.033442,1.2444,0.47291,1.072,0.033533,0.83688,0.39248,1.3218
0.033434,1.2446,0.47295,1.072,0.03353,0.83633,0.39238,1.3224,0.033442,1.2444,0.47291,1.072,0.033531,0.83698,0.3925,1.3218
0.033434,1.2445,0.47295,1.072,0.033529,0.83644,0.3924,1.3223,0.033442,1.2444,0.47291,1.072,0.033529,0.83707,0.39251,1.3217
0.033435,1.2445,0.47294,1.072,0.033528,0.83654,0.39242,1.3222,0.033442,1.2444,0.47291,1.072,0.033526,0.83716,0.39253,1.3217
0.033436,1.2445,0.47294,1.072,0.033527,0.83664,0.39243,1.3222,0.033442,1.2444,0.47291,1.072,0.033524,0.83725,0.39255,1.3216
0.033436,1.2445,0.47294,1.072,0.033525,0.83674,0.39245,1.3221,0.033442,1.2444,0.47291,1.072,0.033523,0.83733,0.39256,1.3215
0.033436,1.2445,0.47294,1.072,0.033524,0.83683,0.39247,1.322,0.033442,1.2444,0.47291,1.072,0.033521,0.8374,0.39258,1.3215
0.033437,1.2445,0.47294,1.072,0.033523,0.83692,0.39249,1.3219,0.033442,1.2444,0.47291,1.072,0.033519,0.83748,0.39259,1.3215
0.033437,1.2445,0.47293,1.072,0.033521,0.837,0.3925,1.3219,0.033442,1.2444,0.47291,1.072,0.033517,0.83754,0.39261,1.3214
0.033438,1.2445,0.47293,1.072,0.03352,0.83708,0.39252,1.3218,0.033442,1.2444,0.47291,1.072,0.033516,0.83761,0.39262,1.3214
0.033438,1.2445,0.47293,1.072,0.033519,0.83716,0.39253,1.3218,0.033442,1.2444,0.47291,1.072,0.033514,0.83767,0.39263,1.3213
0.033438,1.2445,0.47293,1.072,0.033518,0.83724,0.39255,1.3217,0.033442,1.2444,0.47291,1.072,0.033513,0.83773,0.39264,1.3213
0.033439,1.2445,0.47293,1.072,0.033517,0.83731,0.39256,1.3216,0.033442,1.2444,0.47291,1.072,0.033512,0.83779,0.39265,1.3213
0.033439,1.2445,0.47293,1.072,0.033515,0.83738,0.39258,1.3216,0.033442,1.2444,0.47291,1.072,0.03351,0.83784,0.39266,1.3212
0.033439,1.2445,0.47293,1.072,0.033514,0.83744,0.39259,1.3215,0.033442,1.2444,0.47291,1.072,0.033509,0.83789,0.39267,1.3212
0.033439,1.2445,0.47292,1.072,0.033513,0.83751,0.3926,1.3215,0.033442,1.2444,0.47291,1.072,0.033508,0.83794,0.39268,1.3212
0.033439,1.2445,0.47292,1.072,0.033512,0.83757,0.39261,1.3215,0.033442,1.2444,0.47291,1.072,0.033507,0.83798,0.39269,1.3211
